id,region,distrito,latitud_a,longitud_a
450004,Arequipa, Chala,-15.84416,-74.2557
451004,Arequipa, Characato,-16.46541,-71.49896
452004,Arequipa, Chiguata,-16.40741,-71.46987
453004,Arequipa, Chivay,-15.64313,-71.60186
454004,Arequipa, Chivay,-15.64133,-71.60335000000001
455004,Arequipa, Chivay,-15.55822655,-71.56073947
456004,Arequipa, Cocachacra,-17.09072,-71.77075000000001
457004,Arequipa, Cocachacra,-17.10068,-71.77907999999999
458004,Arequipa, Cocachacra,-17.09135,-71.76348
459004,Arequipa, Dean Valdivia,-17.14573,-71.82317999999999
460004,Arequipa, Jacobo Hunter,-16.44875,-71.54916
461004,Arequipa, Jacobo Hunter,-16.4551,-71.55643000000001
462004,Arequipa, Jacobo Hunter,-16.45504,-71.5536
463004,Arequipa, Jacobo Hunter,-16.44708,-71.55094
464004,Arequipa, Jacobo Hunter,-16.45168,-71.55974999999999
465004,Arequipa, Jacobo Hunter,-16.45708,-71.55568
466004,Arequipa, José Luis Bustaman,-16.41608,-71.52893
467004,Arequipa, José Luis Bustaman,-16.41664,-71.52594000000001
468004,Arequipa, José Luis Bustaman,-16.43189,-71.52652000000001
469004,Arequipa, José Luis Bustaman,-16.44057,-71.51115
470004,Arequipa, José Luis Bustaman,-16.42934,-71.54134999999999
471004,Arequipa, José Luis Bustaman,-16.41209,-71.51626
